0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:58:26 +0530] "GET /project_3/doc/module-search-index.js HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:58:26 +0530] "GET /project_3/doc/tag-search-index.js HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:58:29 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:58:29 +0530] "GET /project_3/doc/module-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:58:29 +0530] "GET /project_3/doc/tag-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:58:29 +0530] "GET /project_3/doc/module-search-index.js HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:58:29 +0530] "GET /project_3/doc/tag-search-index.js HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:58:44 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:58:44 +0530] "GET /project_3/doc/module-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:58:44 +0530] "GET /project_3/doc/module-search-index.js HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:58:44 +0530] "GET /project_3/doc/tag-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:58:44 +0530] "GET /project_3/doc/tag-search-index.js HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:58:50 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:58:50 +0530] "GET /project_3/doc/module-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:58:50 +0530] "GET /project_3/doc/module-search-index.js HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:58:50 +0530] "GET /project_3/doc/tag-search-index.zip HTTP/1.1" 404 973
